OBJECTNUMMER;Boomsoort;Wetenschappelijke_naam;Plantjaar;Stamomtrek;Stamdiameter;Beschermwaarde;Toelichting;Referentienummer_stadsdeel;Volgnummer;Groep;SELECTIE_CAT;Foto;Vastgesteld;Achtergrond;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
540;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7374";"C466";"Monumentale boom";"BOOM_80_100";"7374.jpg";"Ja";"Boom_7374.pdf";"POINT(4.9235742,52.3682067)";"POINT(52.3682067,4.9235742)";4.9235742;52.3682067;
541;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7377";"C467";"Monumentale boom";"BOOM_80_100";"7377.jpg";"Ja";"Boom_7377.pdf";"POINT(4.9231412,52.3681685)";"POINT(52.3681685,4.9231412)";4.9231412;52.3681685;
542;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7390";"C468";"Monumentale boom";"BOOM_80_100";"7390.jpg";"Ja";"Boom_7390.pdf";"POINT(4.9242232,52.3677947)";"POINT(52.3677947,4.9242232)";4.9242232;52.3677947;
543;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7400";"C469";"Monumentale boom";"BOOM_80_100";"7400.jpg";"Ja";"Boom_7400.pdf";"POINT(4.9252059,52.3676573)";"POINT(52.3676573,4.9252059)";4.9252059;52.3676573;
544;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7401";"C470";"Monumentale boom";"BOOM_80_100";"7401.jpg";"Ja";"Boom_7401.pdf";"POINT(4.9248531,52.3675772)";"POINT(52.3675772,4.9248531)";4.9248531;52.3675772;
545;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7402";"C471";"Monumentale boom";"BOOM_80_100";"7402.jpg";"Ja";"Boom_7402.pdf";"POINT(4.9246509,52.3676497)";"POINT(52.3676497,4.9246509)";4.9246509;52.3676497;
546;"Gewone plataan";"Platanus xhispanica";1900;"400-500 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7556";"C472";"Monumentale boom";"BOOM_100PLUS";"7556.jpg";"Ja";"Boom_7556.pdf";"POINT(4.930474,52.3697974)";"POINT(52.3697974,4.930474)";4.930474;52.3697974;
547;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7644";"C473";"Monumentale boom";"BOOM_80_100";"7644.jpg";"Ja";"Boom_7644.pdf";"POINT(4.9233458,52.368096)";"POINT(52.368096,4.9233458)";4.9233458;52.368096;
548;"Huntingdon-iep";"Ulmus xhollandica `Vegeta`";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7651";"C474";"Monumentale boom";"BOOM_50_80";"7651.jpg";"Ja";"Boom_7651.pdf";"POINT(4.9260571,52.3669287)";"POINT(52.3669287,4.9260571)";4.9260571;52.3669287;
549;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7662";"C475";"Monumentale boom";"BOOM_80_100";"7662.jpg";"Ja";"Boom_7662.pdf";"POINT(4.9237602,52.3679549)";"POINT(52.3679549,4.9237602)";4.9237602;52.3679549;
550;"Gewone plataan";"Platanus xhispanica";1920;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7812";"C476";"Monumentale boom";"BOOM_80_100";"7812.jpg";"Ja";"Boom_7812.pdf";"POINT(4.9128621,52.3655211)";"POINT(52.3655211,4.9128621)";4.9128621;52.3655211;
551;"Huntingdon-iep";"Ulmus xhollandica `Vegeta`";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7816";"C477";"Monumentale boom";"BOOM_50_80";"7816.jpg";"Ja";"Boom_7816.pdf";"POINT(4.9184658,52.3634307)";"POINT(52.3634307,4.9184658)";4.9184658;52.3634307;
552;"Gewone plataan";"Platanus xhispanica";1920;"300-400 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7829";"C478";"Monumentale boom";"BOOM_80_100";"7829.jpg";"Ja";"Boom_7829.pdf";"POINT(4.9130781,52.36575)";"POINT(52.36575,4.9130781)";4.9130781;52.36575;
553;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7878";"C479";"Monumentale boom";"BOOM_100PLUS";"7878.jpg";"Ja";"Boom_7878.pdf";"POINT(4.9108841,52.3635336)";"POINT(52.3635336,4.9108841)";4.9108841;52.3635336;
554;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7890";"C480";"Monumentale boom";"BOOM_100PLUS";"7890.jpg";"Ja";"Boom_7890.pdf";"POINT(4.9109242,52.3636405)";"POINT(52.3636405,4.9109242)";4.9109242;52.3636405;
555;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7891";"C481";"Monumentale boom";"BOOM_100PLUS";"7891.jpg";"Ja";"Boom_7891.pdf";"POINT(4.9109609,52.3637396)";"POINT(52.3637396,4.9109609)";4.9109609;52.3637396;
556;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7892";"C482";"Monumentale boom";"BOOM_100PLUS";"7892.jpg";"Ja";"Boom_7892.pdf";"POINT(4.9109952,52.3638465)";"POINT(52.3638465,4.9109952)";4.9109952;52.3638465;
557;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7928";"C483";"Monumentale boom";"BOOM_100PLUS";"7928.jpg";"Ja";"Boom_7928.pdf";"POINT(4.9108512,52.3634268)";"POINT(52.3634268,4.9108512)";4.9108512;52.3634268;
558;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7935";"C484";"Monumentale boom";"BOOM_50_80";"7935.jpg";"Ja";"Boom_7935.pdf";"POINT(4.9182661,52.3633772)";"POINT(52.3633772,4.9182661)";4.9182661;52.3633772;
559;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7987";"C485";"Monumentale boom";"BOOM_100PLUS";"7987.jpg";"Ja";"Boom_7987.pdf";"POINT(4.9110382,52.3639533)";"POINT(52.3639533,4.9110382)";4.9110382;52.3639533;
560;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7996";"C486";"Monumentale boom";"BOOM_100PLUS";"7996.jpg";"Ja";"Boom_7996.pdf";"POINT(4.9110668,52.3640677)";"POINT(52.3640677,4.9110668)";4.9110668;52.3640677;
561;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8015";"C487";"Monumentale boom";"BOOM_80_100";"8015.jpg";"Ja";"Boom_8015.pdf";"POINT(4.9211938,52.3690192)";"POINT(52.3690192,4.9211938)";4.9211938;52.3690192;
562;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8018";"C488";"Monumentale boom";"BOOM_80_100";"8018.jpg";"Ja";"Boom_8018.pdf";"POINT(4.922096,52.3685271)";"POINT(52.3685271,4.922096)";4.922096;52.3685271;
563;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8019";"C489";"Monumentale boom";"BOOM_80_100";"8019.jpg";"Ja";"Boom_8019.pdf";"POINT(4.92188,52.3685996)";"POINT(52.3685996,4.92188)";4.92188;52.3685996;
564;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8021";"C490";"Monumentale boom";"BOOM_80_100";"8021.jpg";"Ja";"Boom_8021.pdf";"POINT(4.9222338,52.3686644)";"POINT(52.3686644,4.9222338)";4.9222338;52.3686644;
565;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8022";"C491";"Monumentale boom";"BOOM_80_100";"8022.jpg";"Ja";"Boom_8022.pdf";"POINT(4.9216788,52.3686682)";"POINT(52.3686682,4.9216788)";4.9216788;52.3686682;
566;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8025";"C492";"Monumentale boom";"BOOM_80_100";"8025.jpg";"Ja";"Boom_8025.pdf";"POINT(4.9197709,52.3693282)";"POINT(52.3693282,4.9197709)";4.9197709;52.3693282;
567;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8026";"C493";"Monumentale boom";"BOOM_80_100";"8026.jpg";"Ja";"Boom_8026.pdf";"POINT(4.921057,52.3688857)";"POINT(52.3688857,4.921057)";4.921057;52.3688857;
568;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8028";"C494";"Monumentale boom";"BOOM_80_100";"8028.jpg";"Ja";"Boom_8028.pdf";"POINT(4.9212668,52.3688094)";"POINT(52.3688094,4.9212668)";4.9212668;52.3688094;
569;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"100-200 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8029";"C495";"Monumentale boom";"BOOM_80_100";"8029.jpg";"Ja";"Boom_8029.pdf";"POINT(4.9213431,52.3689734)";"POINT(52.3689734,4.9213431)";4.9213431;52.3689734;
570;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8031";"C496";"Monumentale boom";"BOOM_80_100";"8031.jpg";"Ja";"Boom_8031.pdf";"POINT(4.921643,52.3688666)";"POINT(52.3688666,4.921643)";4.921643;52.3688666;
571;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8032";"C497";"Monumentale boom";"BOOM_80_100";"8032.jpg";"Ja";"Boom_8032.pdf";"POINT(4.9218032,52.3688132)";"POINT(52.3688132,4.9218032)";4.9218032;52.3688132;
572;"Witte paardenkastanje";"Aesculus hippocastanum";1930;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8071";"C498";"Monumentale boom";"BOOM_80_100";"8071.jpg";"Ja";"Boom_8071.pdf";"POINT(4.9192731,52.3669936)";"POINT(52.3669936,4.9192731)";4.9192731;52.3669936;
573;"Winterlinde";"Tilia cordata";1940;"100-200 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8083";"C499";"Monumentale boom";"BOOM_50_80";"8083.jpg";"Ja";"Boom_8083.pdf";"POINT(4.9211228,52.3673674)";"POINT(52.3673674,4.9211228)";4.9211228;52.3673674;
574;"Winterlinde";"Tilia cordata";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8084";"C500";"Monumentale boom";"BOOM_50_80";"8084.jpg";"Ja";"Boom_8084.pdf";"POINT(4.92117,52.3673522)";"POINT(52.3673522,4.92117)";4.92117;52.3673522;
575;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8089";"C501";"Monumentale boom";"BOOM_80_100";"8089.jpg";"Ja";"Boom_8089.pdf";"POINT(4.9200499,52.3694121)";"POINT(52.3694121,4.9200499)";4.9200499;52.3694121;
576;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8091";"C502";"Monumentale boom";"BOOM_80_100";"8091.jpg";"Ja";"Boom_8091.pdf";"POINT(4.920193,52.3693663)";"POINT(52.3693663,4.920193)";4.920193;52.3693663;
577;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8094";"C503";"Monumentale boom";"BOOM_80_100";"8094.jpg";"Ja";"Boom_8094.pdf";"POINT(4.920378,52.3691184)";"POINT(52.3691184,4.920378)";4.920378;52.3691184;
578;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8137";"C504";"Monumentale boom";"BOOM_80_100";"8137.jpg";"Ja";"Boom_8137.pdf";"POINT(4.9185069,52.3697592)";"POINT(52.3697592,4.9185069)";4.9185069;52.3697592;
579;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8152";"C505";"Monumentale boom";"BOOM_80_100";"8152.jpg";"Ja";"boom 8152.pdf";"POINT(4.91871,52.3696906)";"POINT(52.3696906,4.91871)";4.91871;52.3696906;
580;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"300-400 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8321";"C506";"Monumentale boom";"BOOM_80_100";"8321.jpg";"Ja";"Boom_8321.pdf";"POINT(4.9095991,52.3678977)";"POINT(52.3678977,4.9095991)";4.9095991;52.3678977;
581;"Hollandse iep";"Ulmus xhollandica `Belgica`";1930;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8325";"C507";"Monumentale boom";"BOOM_80_100";"8325.jpg";"Ja";"Boom_8325.pdf";"POINT(4.9088142,52.3672988)";"POINT(52.3672988,4.9088142)";4.9088142;52.3672988;
582;"Winterlinde";"Tilia cordata";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8381";"C508";"Monumentale boom";"BOOM_50_80";"8381.jpg";"Ja";"Boom_8381.pdf";"POINT(4.9218838,52.3671042)";"POINT(52.3671042,4.9218838)";4.9218838;52.3671042;
583;"Gewone plataan";"Platanus xhispanica";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8804";"C509";"Monumentale boom";"BOOM_50_80";"8804.jpg";"Ja";"Boom_8804.pdf";"POINT(4.9191229,52.3717238)";"POINT(52.3717238,4.9191229)";4.9191229;52.3717238;
584;"Gewone plataan";"Platanus xhispanica";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8805";"C510";"Monumentale boom";"BOOM_50_80";"8805.jpg";"Ja";"Boom_8805.pdf";"POINT(4.9189498,52.3716017)";"POINT(52.3716017,4.9189498)";4.9189498;52.3716017;
585;"Gewone plataan";"Platanus xhispanica";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8806";"C511";"Monumentale boom";"BOOM_50_80";"8806.jpg";"Ja";"Boom_8806.pdf";"POINT(4.918668,52.3713919)";"POINT(52.3713919,4.918668)";4.918668;52.3713919;
586;"Hollandse iep";"Ulmus xhollandica `Belgica`";1910;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8845";"C512";"Monumentale boom";"BOOM_100PLUS";"8845.jpg";"Ja";"Boom_8845.pdf";"POINT(4.9222028,52.3743254)";"POINT(52.3743254,4.9222028)";4.9222028;52.3743254;
587;"Hollandse iep";"Ulmus xhollandica `Belgica`";1910;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8846";"C513";"Monumentale boom";"BOOM_100PLUS";"8846.jpg";"Ja";"Boom_8846.pdf";"POINT(4.9221508,52.3742224)";"POINT(52.3742224,4.9221508)";4.9221508;52.3742224;
588;"Gewone acacia";"Robinia pseudoacacia";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8921";"C515";"Monumentale boom";"BOOM_50_80";"8921.jpg";"Ja";"Boom_8921.pdf";"POINT(4.9131992,52.3656317)";"POINT(52.3656317,4.9131992)";4.9131992;52.3656317;
589;"Witte paardenkastanje";"Aesculus hippocastanum";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8953";"C516";"Monumentale boom";"BOOM_50_80";"8953.jpg";"Ja";"Boom_8953.pdf";"POINT(4.910537,52.360932)";"POINT(52.360932,4.910537)";4.910537;52.360932;
590;"Winterlinde";"Tilia cordata";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8955";"C517";"Monumentale boom";"BOOM_50_80";"8955.jpg";"Ja";"Boom_8955.pdf";"POINT(4.9104049,52.3609015)";"POINT(52.3609015,4.9104049)";4.9104049;52.3609015;
591;"Witte paardenkastanje";"Aesculus hippocastanum";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8961";"C518";"Monumentale boom";"BOOM_50_80";"8961.jpg";"Ja";"Boom_8961.pdf";"POINT(4.9096768,52.3607604)";"POINT(52.3607604,4.9096768)";4.9096768;52.3607604;
592;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8962";"C519";"Monumentale boom";"BOOM_50_80";"8962.jpg";"Ja";"Boom_8962.pdf";"POINT(4.9095442,52.3607184)";"POINT(52.3607184,4.9095442)";4.9095442;52.3607184;
593;"Hollandse iep";"Ulmus xhollandica `Belgica`";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8963";"C520";"Monumentale boom";"BOOM_50_80";"8963.jpg";"Ja";"Boom_8963.pdf";"POINT(4.9092939,52.3607413)";"POINT(52.3607413,4.9092939)";4.9092939;52.3607413;
594;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8967";"C521";"Monumentale boom";"BOOM_100PLUS";"8967.jpg";"Ja";"Boom_8967.pdf";"POINT(4.9119241,52.3613898)";"POINT(52.3613898,4.9119241)";4.9119241;52.3613898;
595;"Gewone plataan";"Platanus xhispanica";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8970";"C522";"Monumentale boom";"BOOM_50_80";"8970.jpg";"Ja";"Boom_8970.pdf";"POINT(4.9193079,52.3717085)";"POINT(52.3717085,4.9193079)";4.9193079;52.3717085;
596;"Gewone plataan";"Platanus xhispanica";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8971";"C523";"Monumentale boom";"BOOM_50_80";"8971.jpg";"Ja";"Boom_8971.pdf";"POINT(4.9188702,52.3715254)";"POINT(52.3715254,4.9188702)";4.9188702;52.3715254;
597;"Gewone haagbeuk";"Carpinus betulus";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8976";"C524";"Monumentale boom";"BOOM_50_80";"8976.jpg";"Ja";"Boom_8976.pdf";"POINT(4.9108241,52.3609969)";"POINT(52.3609969,4.9108241)";4.9108241;52.3609969;
598;"Gewone plataan";"Platanus xhispanica";1910;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8977";"C525";"Monumentale boom";"BOOM_100PLUS";"8977.jpg";"Ja";"Boom_8977.pdf";"POINT(4.911865,52.3613898)";"POINT(52.3613898,4.911865)";4.911865;52.3613898;
599;"Huntingdon-iep";"Ulmus xhollandica `Vegeta`";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"8991";"C527";"Monumentale boom";"BOOM_50_80";"8991.jpg";"Ja";"Boom_8991.pdf";"POINT(4.9197109,52.3638159)";"POINT(52.3638159,4.9197109)";4.9197109;52.3638159;
600;"Gewone plataan";"Platanus xhispanica";1940;"300-400 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"9075";"C528";"Monumentale boom";"BOOM_50_80";"9075.jpg";"Ja";"Boom_9075.pdf";"POINT(4.9228609,52.3643653)";"POINT(52.3643653,4.9228609)";4.9228609;52.3643653;
601;"Gewone plataan";"Platanus xhispanica";1920;"300-400 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"9128";"C529";"Monumentale boom";"BOOM_80_100";"9128.jpg";"Ja";"Boom_9128.pdf";"POINT(4.9135468,52.3648955)";"POINT(52.3648955,4.9135468)";4.9135468;52.3648955;
602;"Gewone acacia cv.";"Robinia pseudoacacia `Bessoniana`";1930;"300-400 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"9159";"C530";"Monumentale boom";"BOOM_80_100";"9159.jpg";"Ja";"Boom_9159.pdf";"POINT(4.9137642,52.3654906)";"POINT(52.3654906,4.9137642)";4.9137642;52.3654906;
603;"Gewone vleugelnoot";"Pterocarya fraxinifolia";1920;"300-400 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"9161";"C531";"Monumentale boom";"BOOM_80_100";"9161.jpg";"Ja";"Boom_9161.pdf";"POINT(4.9138,52.3652999)";"POINT(52.3652999,4.9138)";4.9138;52.3652999;
604;"Hollandse iep";"Ulmus xhollandica `Belgica`";1900;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"30007";"C532";"Monumentale boom";"BOOM_100PLUS";"30007.jpg";"Ja";"Boom_30007.pdf";"POINT(4.9002731,52.3604819)";"POINT(52.3604819,4.9002731)";4.9002731;52.3604819;
605;"Gewone plataan";"Platanus xhispanica";1900;"400-500 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"30019";"C533";"Monumentale boom";"BOOM_100PLUS";"30019.jpg";"Ja";"Boom_30019.pdf";"POINT(4.9085138,52.3660094)";"POINT(52.3660094,4.9085138)";4.9085138;52.3660094;
606;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"10324";"C534";"Monumentale boom";"BOOM_80_100";"10324.jpg";"Ja";"Boom_10324.pdf";"POINT(4.8856461,52.3863913)";"POINT(52.3863913,4.8856461)";4.8856461;52.3863913;
607;"Dubbelbloemige paardenkastanje";"Aesculus hippocastanum `Baumannii`";1940;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"11521";"C535";"Monumentale boom";"BOOM_50_80";"11521.jpg";"Ja";"Boom_11521.pdf";"POINT(4.9010899,52.3611228)";"POINT(52.3611228,4.9010899)";4.9010899;52.3611228;
608;"Hollandse iep";"Ulmus xhollandica `Belgica`";1920;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"7140";"C536";"Monumentale boom";"BOOM_80_100";"7140.jpg";"Ja";"Boom_7140.pdf";"POINT(4.9154541,52.3709876)";"POINT(52.3709876,4.9154541)";4.9154541;52.3709876;
609;"Bruine beuk";"Fagus sylvatica `Atropunicea`";1870;"400-500 cm";"> 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"11796";"C537";"Monumentale boom";"BOOM_100PLUS";"11796.jpg";"Ja";"Boom_11796.pdf";"POINT(4.8931992,52.3644606)";"POINT(52.3644606,4.8931992)";4.8931992;52.3644606;
610;"Gewone vleugelnoot";"Pterocarya fraxinifolia";1910;"100-200 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"3205";"C538";"Monumentale boom";"BOOM_100PLUS";"3205.jpg";"Ja";"Boom_3205.pdf";"POINT(4.897064,52.3621909)";"POINT(52.3621909,4.897064)";4.897064;52.3621909;
611;"Hollandse iep";"Ulmus xhollandica `Belgica`";1895;"300-400 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"6496";"C539";"Monumentale boom";"BOOM_100PLUS";"6496.jpg";"Ja";"Boom_6496.pdf";"POINT(4.8803961,52.3657691)";"POINT(52.3657691,4.8803961)";4.8803961;52.3657691;
612;"Hollandse iep";"Ulmus xhollandica `Belgica`";1895;"200-300 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"6498";"C540";"Monumentale boom";"BOOM_100PLUS";"6498.jpg";"Ja";"Boom_6498.pdf";"POINT(4.8846171,52.3741957)";"POINT(52.3741957,4.8846171)";4.8846171;52.3741957;
613;"Hollandse Linde";"Tilia xeuropaea";1936;"100-200 cm";"50 - 100 cm";"Beeldbepalende waarde";"Leeftijd > 70 jaar";"2171";"C541";"Monumentale boom";"BOOM_50_80";"2171.jpg";"Ja";"Boom_2171.pdf";"POINT(4.8965018,52.3658225)";"POINT(52.3658225,4.8965018)";4.8965018;52.3658225;
614;"Zilveresdoorn";"Acer saccharinum";1960;"300-400 cm";"";"Beeldbepalende waarde";"";"92";"N001";"Monumentale boom";"BOOM_50_80";"92.jpg";"Ja";"";"POINT(4.8984072,52.4136473)";"POINT(52.4136473,4.8984072)";4.8984072;52.4136473;
615;"Noordse esdoorn";"Acer platanoides";1960;"200-300 cm";"";"Beeldbepalende waarde";"";"93";"N002";"Monumentale boom";"BOOM_50_80";"93.jpg";"Ja";"";"POINT(4.898391,52.4135977)";"POINT(52.4135977,4.898391)";4.898391;52.4135977;
616;"Zachte es";"Fraxinus pennsylvanica";1960;"100-200 cm";"";"Beeldbepalende waarde";"";"98";"N003";"Monumentale boom";"BOOM_50_80";"98.jpg";"Ja";"";"POINT(4.8962519,52.4118964)";"POINT(52.4118964,4.8962519)";4.8962519;52.4118964;
617;"Gele treurwilg";"Salix sepulcralis `Tristis`";1950;"300-400 cm";"";"Beeldbepalende waarde";"";"152";"N004";"Monumentale boom";"BOOM_50_80";"";"Ja";"";"POINT(4.895777,52.4115645)";"POINT(52.4115645,4.895777)";4.895777;52.4115645;
618;"Noordse bol esdoorn";"Acer pl. `Globosum`";1960;"100-200 cm";"";"Beeldbepalende waarde";"";"348";"N005";"Monumentale boom";"BOOM_50_80";"348.jpg";"Ja";"";"POINT(4.8988821,52.4135787)";"POINT(52.4135787,4.8988821)";4.8988821;52.4135787;
